 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
21,CT16,18,0015,5.56829190189,4,"[(248.264801198696, 236.280529100373, 15.1790810766186), (264.674618610443, 209.968782267562, 13.3276136779032), (288.100715130075, 198.879304404002, 17.3752946755551), (221.749342869688, 210.976062059875, 12.477829055745)]","[9.068444455975804, 37.18318945173001, 12.399243035990613, 4.1391516737746175]","[(366.454783663533, 369.930243561332, 12.9624627706041), (403.718572799262, 373.710780743855, 13.6811265173579)]","[137.49145414623624, 162.62231327849847]"
22,CT16,18,0015,9.64294095804,4,"[(248.264801198696, 236.280529100373, 15.1790810766186), (264.674618610443, 209.968782267562, 13.3276136779032), (288.100715130075, 198.879304404002, 17.3752946755551), (221.749342869688, 210.976062059875, 12.477829055745)]","[24.623826262489125, 55.44624812483008, 40.87627044952893, 29.09568498148366]","[(366.454783663533, 369.930243561332, 12.9624627706041), (403.718572799262, 373.710780743855, 13.6811265173579)]","[103.61228898349724, 126.30320907523233]"
23,CT16,6,0014,4.71997280826,3,"[(166.370082053596, 176.47772137986, 16.63842200529), (163.408916918716, 154.182766074145, 13.2532608180162), (182.679255817407, 159.231277987812, 12.2487059471276)]","[12.314379108286962, 21.59310170750471, 12.331503288878999]","[(206.022864387196, 250.43548086276, 13.2926382237409), (242.326792100043, 278.684005760971, 13.7659785605019), (227.537072668106, 289.826657047718, 15.2320225231594), (220.429739626222, 275.228668285303, 14.99061912911), (259.324113840314, 277.664403116133, 13.169387671306), (217.45608339943, 234.180049126294, 15.4714603168433)]","[54.12313954725098, 91.16299714655318, 97.05774572027796, 81.10768920448582, 97.91957977546015, 40.949091510052476]"
24,CT16,6,0014,7.41763307544,3,"[(166.370082053596, 176.47772137986, 16.63842200529), (163.408916918716, 154.182766074145, 13.2532608180162), (182.679255817407, 159.231277987812, 12.2487059471276)]","[28.77598917869242, 37.80337077534058, 29.487827969542344]","[(206.022864387196, 250.43548086276, 13.2926382237409), (242.326792100043, 278.684005760971, 13.7659785605019), (227.537072668106, 289.826657047718, 15.2320225231594), (220.429739626222, 275.228668285303, 14.99061912911), (259.324113840314, 277.664403116133, 13.169387671306), (217.45608339943, 234.180049126294, 15.4714603168433)]","[41.137202100395164, 63.94509598659471, 77.07818930604756, 63.64348915495181, 62.981722422422, 23.437892922606498]"
25,CT16,6,0017,4.35631568254,3,"[(227.537072668106, 289.826657047718, 15.2320225231594), (220.429739626222, 275.228668285303, 14.99061912911), (217.45608339943, 234.180049126294, 15.4714603168433)]","[5.281029120693664, 14.110196445451177, 7.044775653752316]","[(166.370082053596, 176.47772137986, 16.63842200529), (172.792968031946, 170.293397170821, 18.3095190701013)]","[60.73367369263872, 64.01506531661326]"
26,CT16,6,0017,7.85822677812,3,"[(227.537072668106, 289.826657047718, 15.2320225231594), (220.429739626222, 275.228668285303, 14.99061912911), (217.45608339943, 234.180049126294, 15.4714603168433)]","[23.04764356448635, 37.01789258226041, 18.633316524505684]","[(166.370082053596, 176.47772137986, 16.63842200529), (172.792968031946, 170.293397170821, 18.3095190701013)]","[21.81457496725586, 30.237823178580893]"
27,CT16,1,0010,5.24210340766,5,"[(206.962869203362, 251.352118122783, 8.19448862704092), (182.292062755754, 248.300400155049, 9.32233149770553), (192.911331557697, 256.344528462957, 8.39023389614082), (215.603528260618, 275.103552263695, 9.56527502768352), (218.760217789317, 284.171731607412, 11.5435038447774)]","[24.543318319755077, 27.304872369242368, 33.808249561390696, 14.55478949535824, 6.17558377887014]","[(124.443324702728, 130.013579874838, 11.2028532100689), (169.019976628944, 137.260261472924, 7.83119117345515), (187.683606111772, 179.569515719646, 11.4231569708715), (149.203803085176, 189.892288130046, 12.4017295966885), (190.812073040666, 136.95951116729, 11.1549686378541), (184.652386893842, 140.746306141239, 8.14767740054626), (162.772910953518, 127.319363899899, 9.09598252681236), (170.391364950013, 193.244229373871, 9.16249292935746)]","[100.20357052318445, 79.98155837570704, 35.12281275755633, 35.56859782577486, 76.93025939896962, 73.90346921233093, 90.96744788513199, 25.42231513384402]"
28,CT16,1,0010,8.18281114713,5,"[(206.962869203362, 251.352118122783, 8.19448862704092), (182.292062755754, 248.300400155049, 9.32233149770553), (192.911331557697, 256.344528462957, 8.39023389614082), (215.603528260618, 275.103552263695, 9.56527502768352), (218.760217789317, 284.171731607412, 11.5435038447774)]","[44.598264544978164, 48.124181261897164, 47.27183290983438, 37.31122187729073, 31.967812599549774]","[(124.443324702728, 130.013579874838, 11.2028532100689), (169.019976628944, 137.260261472924, 7.83119117345515), (187.683606111772, 179.569515719646, 11.4231569708715), (149.203803085176, 189.892288130046, 12.4017295966885), (190.812073040666, 136.95951116729, 11.1549686378541), (184.652386893842, 140.746306141239, 8.14767740054626), (162.772910953518, 127.319363899899, 9.09598252681236), (170.391364950013, 193.244229373871, 9.16249292935746)]","[71.81150196596539, 63.55295554187253, 20.075858150618153, 11.51692649738317, 62.36234977574332, 59.01696302252573, 73.88889410440301, 7.606342119766401]"
29,CT16,1,0013,5.28674708582,5,"[(124.443324702728, 130.013579874838, 11.2028532100689), (187.683606111772, 179.569515719646, 11.4231569708715), (149.203803085176, 189.892288130046, 12.4017295966885), (190.812073040666, 136.95951116729, 11.1549686378541), (165.887521636798, 166.086117111108, 15.7119656824586)]","[3.5696467293163576, 11.701726000889417, 2.489640998924048, 3.921708416500323, 31.3190576436228]","[(209.997618546828, 286.115404388141, 13.0549176022695), (204.558093853988, 139.693000588781, 15.506530579757), (218.760217789317, 284.171731607412, 11.5435038447774)]","[93.82684994007059, 8.14250409896817, 94.80132485246486]"
30,CT16,1,0013,8.03181322024,6,"[(124.443324702728, 130.013579874838, 11.2028532100689), (187.683606111772, 179.569515719646, 11.4231569708715), (149.203803085176, 189.892288130046, 12.4017295966885), (190.812073040666, 136.95951116729, 11.1549686378541), (204.558093853988, 139.693000588781, 15.506530579757), (165.887521636798, 166.086117111108, 15.7119656824586)]","[29.55788994963114, 28.666413116451288, 19.77485303399284, 19.785159622270292, 10.064086033051257, 42.90254470633444]","[(209.997618546828, 286.115404388141, 13.0549176022695), (218.760217789317, 284.171731607412, 11.5435038447774)]","[78.26901865061924, 77.39497092472855]"
