 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
45,CT16,19,0009,5.36193282274,1,"[(106.904383920136, 177.297916274833, 9.68959063371194)]",[24.061711888936276],"[(162.050922141801, 214.291737906394, 9.47664220785455), (205.934218712186, 167.985483094065, 9.85148157392334), (221.46738705495, 262.519769563064, 9.58637555363198)]","[7.788377055901807, 38.27357834287169, 82.65276479894695]"
46,CT16,19,0009,10.2787166319,3,"[(162.050922141801, 214.291737906394, 9.47664220785455), (205.934218712186, 167.985483094065, 9.85148157392334), (106.904383920136, 177.297916274833, 9.68959063371194)]","[23.044542714142242, 23.3968748257874, 45.52797516969113]","[(221.46738705495, 262.519769563064, 9.58637555363198)]",[38.88296456155556]
47,CT16,4,0010,4.57503795069,0,[],[],"[(64.6613862408046, 43.2548819717732, 9.12274631241257)]",[469.60875830588117]
48,CT16,4,0010,7.80698154022,0,[],[],"[(64.6613862408046, 43.2548819717732, 9.12274631241257)]",[442.0133207361955]
49,CT16,4,0014,4.64470118014,1,"[(89.1434890703369, 44.3199498808421, 14.3627041596523)]",[2.7135778892972384],"[(359.491849675863, 405.116496202149, 13.3533473916018), (46.3721488984181, 76.4596168519478, 14.3597448615047)]","[368.7013707566189, 20.99506347748502]"
50,CT16,4,0014,7.53108128923,2,"[(46.3721488984181, 76.4596168519478, 14.3597448615047), (89.1434890703369, 44.3199498808421, 14.3627041596523)]","[11.288255798930384, 26.737723450458457]","[(359.491849675863, 405.116496202149, 13.3533473916018)]",[344.8385280334858]
51,CT16,15,0014,5.5882125673,1,"[(362.176560743944, 442.478639839168, 14.4701031549903)]",[13.457298404459692],"[(51.7104583306595, 137.090809850015, 14.2769535946013), (101.875596422993, 102.508784268285, 13.2073099352583), (257.177152128507, 264.029733440792, 13.8068002937428), (436.114946960806, 477.197021490459, 13.5074964955436), (234.565941829222, 303.635004611757, 13.6976159260619)]","[394.3888881248897, 383.50777683936883, 160.4158897649945, 13.357863005220747, 147.31048410590589]"
52,CT16,15,0014,10.03817428,2,"[(362.176560743944, 442.478639839168, 14.4701031549903), (436.114946960806, 477.197021490459, 13.5074964955436)]","[45.32968027052321, 13.97218784787105]","[(51.7104583306595, 137.090809850015, 14.2769535946013), (101.875596422993, 102.508784268285, 13.2073099352583), (257.177152128507, 264.029733440792, 13.8068002937428), (234.565941829222, 303.635004611757, 13.6976159260619)]","[356.4564357593727, 346.2423189763252, 123.30284870663006, 109.29658739059676]"
53,CT16,15,0013,6.05744601053,1,"[(101.875596422993, 102.508784268285, 13.2073099352583)]",[34.92887311120287],"[(342.574763723274, 471.985226195796, 12.6280537457983), (257.177152128507, 264.029733440792, 13.8068002937428), (271.490132901918, 329.43919271663, 12.7552798493276), (436.114946960806, 477.197021490459, 13.5074964955436), (234.565941829222, 303.635004611757, 13.6976159260619)]","[376.50513019219727, 157.96556459793544, 218.36745176400396, 436.1681825359579, 176.4989965751929]"
54,CT16,15,0013,11.4014787217,1,"[(101.875596422993, 102.508784268285, 13.2073099352583)]",[73.89056127127544],"[(342.574763723274, 471.985226195796, 12.6280537457983), (257.177152128507, 264.029733440792, 13.8068002937428), (271.490132901918, 329.43919271663, 12.7552798493276), (436.114946960806, 477.197021490459, 13.5074964955436), (234.565941829222, 303.635004611757, 13.6976159260619)]","[320.4424736714668, 109.07442949414487, 163.7242977574052, 384.20713032779446, 120.53091132647965]"
55,CT16,2,0013,5.30627800617,2,"[(375.333668952457, 394.277730986118, 12.4546785369657), (352.518398018127, 380.845058243122, 13.4106983691708)]","[14.753803994362972, 3.367747162646733]","[(338.614717001295, 327.841880221434, 12.0413057113883)]",[41.51305321852778]
56,CT16,2,0013,9.56548723812,3,"[(338.614717001295, 327.841880221434, 12.0413057113883), (375.333668952457, 394.277730986118, 12.4546785369657), (352.518398018127, 380.845058243122, 13.4106983691708)]","[10.05942364698186, 35.86562085819208, 24.550467638466205]",[],[]
57,CT16,2,0009,5.64492841834,1,"[(320.320149847162, 247.327763140328, 8.13548555366245)]",[18.204059344630835],"[(342.207929882071, 344.697599674474, 8.16941706083763)]",[30.68646821540546]
58,CT16,2,0009,9.05247305938,1,"[(320.320149847162, 247.327763140328, 8.13548555366245)]",[32.468822406617996],"[(342.207929882071, 344.697599674474, 8.16941706083763)]",[7.481028001237869]
59,CT16,16,0008,4.61112458678,3,"[(64.0843766271622, 60.8217272632631, 7.45939461038976), (83.2774517924534, 76.9487233501758, 7.77323261739792), (58.6036823934086, 93.8105070302452, 8.82226507919377)]","[8.295038449855626, 25.802331115154473, 3.7777831660333128]","[(40.5149691738905, 56.5532717594854, 8.88967001384564)]",[15.445573295574182]
60,CT16,16,0008,7.00292379398,4,"[(64.0843766271622, 60.8217272632631, 7.45939461038976), (83.2774517924534, 76.9487233501758, 7.77323261739792), (40.5149691738905, 56.5532717594854, 8.88967001384564), (58.6036823934086, 93.8105070302452, 8.82226507919377)]","[29.223910408394822, 36.42982394276748, 12.202540097190113, 6.895334555458385]",[],[]
61,CT16,16,0019,4.64525873385,1,"[(344.907857516764, 442.221778684078, 18.172097080314)]",[1.8300643615891887],[],[]
62,CT16,16,0019,7.86514967797,1,"[(344.907857516764, 442.221778684078, 18.172097080314)]",[14.043088375094895],[],[]
63,CT16,5,0029,6.09322849286,1,"[(332.263538597032, 251.701874077098, 28.0724726138393)]",[16.559998094856955],[],[]
64,CT16,5,0029,9.1634432042,1,"[(332.263538597032, 251.701874077098, 28.0724726138393)]",[46.363011955055704],[],[]
65,CT16,5,0021,5.08168295352,1,"[(174.632580456029, 149.07550296486, 21.0502704820795)]",[26.749460046682895],"[(328.959442151715, 289.410664382542, 21.1515859421244), (120.378452911896, 164.532016971925, 20.0543941034589)]","[126.23109450546775, 18.707868623782073]"
66,CT16,5,0021,7.58155795507,2,"[(174.632580456029, 149.07550296486, 21.0502704820795), (120.378452911896, 164.532016971925, 20.0543941034589)]","[39.12615480850953, 6.258189528401041]","[(328.959442151715, 289.410664382542, 21.1515859421244)]",[116.16236385013428]
67,CT4,11,0012,5.65770782218,1,"[(268.051512434641, 155.218244283927, 12.413135516241)]",[22.164493785169192],[],[]
68,CT4,11,0012,10.3608035183,1,"[(268.051512434641, 155.218244283927, 12.413135516241)]",[49.824846478315735],[],[]
69,CT4,19,0010,5.67411757962,2,"[(268.129358067901, 128.68323028927, 9.47355767763775), (235.533873110491, 150.89478392185, 10.4622181260272)]","[21.836192241797242, 15.457182998635272]","[(326.720428193667, 89.9922247153016, 10.070970133866)]",[44.34221064030997]
70,CT4,19,0010,9.89386165587,2,"[(268.129358067901, 128.68323028927, 9.47355767763775), (235.533873110491, 150.89478392185, 10.4622181260272)]","[50.563066991716724, 40.867765788645954]","[(326.720428193667, 89.9922247153016, 10.070970133866)]",[9.094649171061782]
71,CT4,19,0016,5.83390726526,1,"[(325.060955527054, 62.4655446071374, 15.9980142087875)]",[13.99613760823502],[],[]
72,CT4,19,0016,8.95009538427,1,"[(325.060955527054, 62.4655446071374, 15.9980142087875)]",[23.502431930498734],[],[]
73,CT4,24,0010,5.56937259496,1,"[(186.426873362482, 236.703123945893, 10.6383333917609)]",[21.224117430712038],"[(275.729685462763, 251.718091807551, 10.7040783306427)]",[20.72983859515141]
74,CT4,24,0010,10.5539353421,2,"[(275.729685462763, 251.718091807551, 10.7040783306427), (186.426873362482, 236.703123945893, 10.6383333917609)]","[25.857854262450243, 52.55333796611124]",[],[]
75,CT4,24,0019,5.61417400859,2,"[(103.016469216812, 361.977560564587, 19.5783378860763), (136.007516114001, 313.221987394003, 19.7036453051791)]","[1.0258576880858732, 4.681486760106603]","[(166.676737157794, 276.6859419546, 18.4299755400753), (231.890660164596, 164.500150157986, 18.4887847465802), (324.158140811075, 170.585061047417, 18.4600572783011), (270.08367299663, 214.746721087816, 19.8746480500033)]","[37.88237416955525, 162.942614781859, 227.57260140551475, 158.37044587693646]"
76,CT4,24,0019,9.11790909737,3,"[(166.676737157794, 276.6859419546, 18.4299755400753), (103.016469216812, 361.977560564587, 19.5783378860763), (136.007516114001, 313.221987394003, 19.7036453051791)]","[11.80843031787519, 2.6145104252378157, 46.81891786618868]","[(231.890660164596, 164.500150157986, 18.4887847465802), (324.158140811075, 170.585061047417, 18.4600572783011), (270.08367299663, 214.746721087816, 19.8746480500033)]","[114.56874169222006, 176.41786788533827, 107.57264823494486]"
77,CT4,15,0009,5.21543089086,2,"[(187.495731519779, 164.374402149305, 9.42359736591175), (118.416284482033, 193.520649184059, 8.21015173605729)]","[6.405615717515553, 4.901077116372373]","[(176.040878601745, 237.931165931471, 8.27297495440087)]",[7.993838162159571]
78,CT4,15,0009,8.13755206388,3,"[(187.495731519779, 164.374402149305, 9.42359736591175), (176.040878601745, 237.931165931471, 8.27297495440087), (118.416284482033, 193.520649184059, 8.21015173605729)]","[29.365731252667114, 3.4510149325753003, 11.230141109972369]",[],[]
79,CT4,15,0017,4.90248522942,4,"[(229.951398566993, 173.938388381252, 16.6906526923867), (240.005183400075, 173.075631921141, 16.645586482882), (233.393770389813, 201.293296914971, 17.4702185341787), (252.762146979525, 215.495238258337, 17.7045022951415)]","[8.721906082256561, 18.670389881699343, 4.721276696190126, 3.4747517322966472]",[],[]
80,CT4,15,0017,7.59040742212,4,"[(229.951398566993, 173.938388381252, 16.6906526923867), (240.005183400075, 173.075631921141, 16.645586482882), (233.393770389813, 201.293296914971, 17.4702185341787), (252.762146979525, 215.495238258337, 17.7045022951415)]","[24.291399448369535, 34.066886383092566, 18.531766526686262, 28.935124231734317]",[],[]
81,CT4,3,0008,5.8383325919,1,"[(161.897188932184, 197.340025184037, 8.59316767754072)]",[13.500608895321111],[],[]
82,CT4,3,0008,12.0403754079,1,"[(161.897188932184, 197.340025184037, 8.59316767754072)]",[65.57132933382915],[],[]
83,CT4,25,0014,5.99029785126,0,[],[],"[(319.041658864781, 88.952509983472, 14.0287726962692)]",[241.3579890005797]
